t_s,tick,seg,phase,joint,t_send_s,t_recv_s,overrun,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,cur_a,load_pct,volt,temp_c,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.0100,0,0,move,-1,0.0100,0.0197,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,11.30,31.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.1049,1,0,move,-1,0.1049,0.1155,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,11.30,31.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.2049,2,0,move,-1,0.2049,0.2159,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.006,0.000,0.013,0.000,0.000,0.013,0.000
0.3047,3,0,move,-1,0.3047,0.3291,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000,0.006,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.013,0.000
0.4049,4,0,move,-1,0.4049,0.4169,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.006,0.000,0.000,0.006,0.000,0.006,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.013,0.000
0.5049,5,0,move,-1,0.5049,0.5159,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.013,0.006
0.6049,6,0,move,-1,0.6049,0.6185,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.006,0.000
0.7049,7,0,move,-1,0.7049,0.7177,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.006,0.000
0.8048,8,0,move,-1,0.8048,0.8452,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.006,0.006
0.9047,9,0,move,-1,0.9047,0.9303,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.006,0.006
1.0049,10,0,move,-1,1.0049,1.0169,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.049,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.013,4.8,11.30,31.0,0.000,0.000,0.006,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.013,0.000
1.1089,11,0,move,-1,1.1089,1.1199,0,0.000,-0.088,0.176,-0.176,-0.088,0.088,-0.264,-0.088,0.176,0.000,-0.176,-0.088,-0.088,0.264,0.000,0.000,0.439,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.194,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.013,3.2,11.30,28.0,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.006,0.000
