ts(UTC)        phase                            max_A   sum_A max_load%  max_C    n
00:16:13.046   step stand-up t=0.0s r=1.0        0.00    0.00        0.0     47   18
00:16:13.323   step stand-up t=0.4s r=1.4        0.06    0.33       38.4     47   18
00:16:13.615   step stand-up t=0.8s r=1.4        0.21    0.48       49.2     47   18
00:16:13.898   step stand-up t=1.3s r=1.8        0.06    0.16       57.6     47   18
00:16:14.176   step stand-up t=1.8s r=1.8        0.05    0.20       16.4     47   18
00:16:14.462   step stand-up t=2.3s r=1.8        0.84    1.25       44.0     47   18
00:16:14.744   step stand-up t=2.8s r=1.8        2.73    3.29       70.0     47   18
00:16:15.018   step stand-up t=3.3s r=1.8        2.60    4.49       70.0     47   18
00:16:15.303   step stand-up t=3.6s r=1.1        2.37    7.92       70.0     47   18
00:16:15.585   step stand-up t=3.9s r=1.1        2.71    5.88       70.0     47   18
00:16:15.871   step stand-up t=4.4s r=1.5        0.32    1.15       62.8     47   18
00:16:18.250   step stand-up settle              0.12    0.27       20.8     47   18
00:16:19.461   walk-ready start: settle          0.05    0.18       12.8     47   18
00:16:32.566   step sit-down t=0.0s r=1.0        0.16    0.34       21.6     47   18
00:16:32.859   step sit-down t=0.4s r=1.4        0.12    0.66       44.8     47   18
00:16:33.130   step sit-down t=0.8s r=1.4        0.08    0.28       53.6     47   18
00:16:33.416   step sit-down t=1.1s r=1.4        2.78    6.38       70.0     47   18
00:16:33.695   step sit-down t=1.5s r=1.4        2.58    4.13       70.0     47   18
00:16:33.981   step sit-down t=1.9s r=1.4        2.53    5.18       70.0     47   18
00:16:34.265   step sit-down t=2.3s r=1.4        2.46    5.08       70.0     47   18
00:16:34.554   step sit-down t=2.7s r=1.4        2.42    5.14       70.0     47   18
00:16:34.837   step sit-down t=3.1s r=1.4        2.35    4.78       70.0     47   18
00:16:35.122   step sit-down t=3.6s r=1.8        0.05    0.19       53.6     47   18
00:16:35.407   step sit-down t=4.1s r=1.8        0.06    0.26       56.8     47   18
00:16:36.136   step sit-down settle              0.01    0.02       14.4     47   18
