Hip angle from the stand-up ramp through the hold, per cycle.
t is seconds relative to hold_t0 (when the runner's demo poll returned).
Commanded stance hip = +20.87 deg. nan = implausible read, dropped.

=== cycle 1 ===
  t_rel L0      L1      L2      L3      L4      L5     
 -29.65 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -29.15 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -28.62 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -28.10 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -27.99 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -27.65 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -27.13 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -26.63 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -26.11 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -25.69 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -25.17 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -25.09 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -24.58 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -24.19 -0.09   -0.09   0.00    -0.09   nan     0.18   
 -23.66 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -23.13 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -22.63 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -22.11 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -22.08 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -21.54 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -21.08 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -20.57 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -20.08 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -19.69 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -19.05 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -18.55 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -18.12 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -17.60 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -17.08 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -16.58 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -16.08 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -16.03 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -15.57 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -15.12 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -14.63 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -14.13 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -13.62 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -13.14 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -13.01 -0.09   -0.09   0.00    nan     0.09    0.18   
 -12.60 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -12.09 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -11.67 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -11.13 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -10.66 -0.09   -0.09   nan     -0.09   0.09    0.18   
 -10.42 -0.09   -0.09   0.00    -0.09   0.09    0.18   
 -10.14 -2.46   -0.09   -3.16   -0.09   -3.16   0.18   
  -9.99 -14.15  -0.09   -15.73  -0.09   nan     0.18   
  -9.63 -46.41  -0.09   -48.16  -0.09   -46.93  0.18   
  -8.58 -64.86  -51.24  -64.78  -51.33  -64.69  -51.50 
  -7.68 -28.56  -30.41  -24.70  -30.06  -24.35  -30.32 
  -7.18 -13.45  -16.17  -11.51  -15.91  -11.43  -15.64 
  -6.66 16.88   19.86   19.78   17.05   21.01   18.11  
  -6.18 17.31   20.30   20.21   17.40   20.92   18.90  
  -5.69 13.89   20.30   14.94   17.40   15.03   18.90  
  -5.13 18.02   20.30   20.48   17.49   20.74   18.98  
  -4.98 18.02   18.37   20.48   15.82   20.48   16.88  
  -4.68 18.02   15.91   20.48   14.06   20.57   15.03  
  -4.16 18.19   20.30   20.48   18.02   20.92   19.78  
  -3.69 18.19   20.30   20.48   18.02   20.92   19.78  
  -3.13 18.19   20.30   20.48   18.02   20.92   19.78  
